method,step,score,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,criterion,best_so_far
manual_random,31,0.7643229166666666,92,18,3,10,0.2675554569119113,True,entropy,0.76953125
manual_random,32,0.75390625,286,3,5,8,0.4638889698662283,True,gini,0.76953125
manual_random,33,0.7721354166666666,253,4,5,9,0.3364743748295089,False,log_loss,0.7721354166666666
manual_random,34,0.7630208333333334,347,18,10,6,0.6727323931851334,False,gini,0.7721354166666666
manual_random,35,0.7565104166666666,95,29,9,8,0.826188181800229,False,gini,0.7721354166666666
manual_random,36,0.765625,133,16,14,8,0.9502611639799863,False,entropy,0.7721354166666666
manual_random,37,0.7721354166666667,213,15,17,5,0.4652551978740418,True,entropy,0.7721354166666667
manual_random,38,0.7447916666666667,305,14,7,1,0.8610335393554862,False,log_loss,0.7721354166666667
manual_random,39,0.7682291666666666,213,6,7,9,0.28686059290835486,True,log_loss,0.7721354166666667
manual_random,40,0.7630208333333333,85,10,6,10,0.7815956914295061,True,log_loss,0.7721354166666667
manual_random,41,0.765625,146,5,13,14,0.38417119271590466,False,gini,0.7721354166666667
manual_random,42,0.7604166666666666,92,18,12,6,0.8638317945059306,False,log_loss,0.7721354166666667
manual_random,43,0.76171875,339,11,5,15,0.4327342705120949,True,entropy,0.7721354166666667
manual_random,44,0.7630208333333334,322,9,20,15,0.3316862540656145,True,gini,0.7721354166666667
manual_random,45,0.7669270833333333,139,14,20,15,0.9133418130039312,False,log_loss,0.7721354166666667
manual_random,46,0.7617187500000001,304,27,6,14,0.6150866883091592,False,gini,0.7721354166666667
manual_random,47,0.7669270833333334,56,24,8,10,0.4989261830989681,True,gini,0.7721354166666667
manual_random,48,0.7669270833333333,271,23,9,4,0.9494505204270234,True,gini,0.7721354166666667
